1453 53
1454 66
1470 105
1489 133
1511 158
1523 171
1523 172
1484 39
1484 46
1485 59
1484 76
1478 94
1467 116
1456 138
1450 158
1448 172
1448 179
1448 179
1448 179
1448 179
1550 63
1546 64
1541 64
1530 58
1508 44
1484 31
1474 27
1462 26
1449 34
1437 51
1426 69
1408 90
1395 98
1394 98
1464 16
1464 16
1464 16
1464 16
1462 15
1459 10
1450 9
1445 8
1443 8
1443 9
1451 13
1454 13
1459 13
1462 10
1461 8
1457 4
1451 4
1447 4
1447 5
1447 7
1445 179
1445 179
1445 179
1434 181
1427 182
1427 182
1428 182
1525 169
1525 169
1520 171
1511 174
1505 176
1504 177
1503 178
1503 178
506 599
506 599
